molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"966c_ligand",0,0,0,0,1,7,1,-2,391.438,7.053,606.313,134.850,169.101,301.949,0.413,1110.858,2.000,10.400,0.0447770,0.0242578,0.8555410,36.691,12.343,21.454,18.047,0.513,-1.835,-3.186,-3.935,149.050,-1.398,109.591,-2.900,9.675,0.810,2,-0.875,3,68.848,0.000,27.510,110.199,7,0,18,0,18,5,27,0,7.206
"8cpa_ligand",0,0,0,2,1,12,1,-2,464.411,8.897,743.917,137.869,261.404,342.614,2.030,1370.551,2.500,10.500,0.0577508,0.0223169,0.8021161,44.262,15.828,25.305,18.480,2.369,-3.426,-4.506,-1.378,1.453,-2.863,1.052,-3.978,9.534,0.164,4,-0.859,1,43.721,0.000,20.333,172.159,10,0,12,0,12,0,32,1,0.018
"8a3h_ligand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7upj_ligand",1,0,0,0,0,7,1,-2,479.590,10.410,789.518,355.128,141.402,292.164,0.823,1467.683,2.000,7.750,0.0738349,0.0138821,0.7910878,50.878,15.442,25.098,13.587,4.479,-6.569,-6.308,-6.306,451.840,-1.363,211.806,-2.424,8.634,0.839,5,0.741,1,100.000,0.000,0.000,100.687,6,0,27,3,18,9,34,1,0.000
"7std_ligand",1,0,0,0,1,4,1,2,334.672,8.159,574.519,262.475,16.888,118.809,176.347,1011.563,1.000,2.500,0.0658081,0.0043515,0.8482471,32.895,10.038,14.559,6.318,4.640,-5.415,-4.522,-3.180,5105.695,0.599,10000.000,-1.028,9.360,0.044,1,0.398,3,100.000,0.000,16.042,29.240,2,0,9,3,6,3,20,0,0.121
"6upj_ligand",0,0,0,0,0,4,1,0,298.381,7.730,574.379,332.992,63.949,177.438,0.000,1010.173,1.000,3.250,0.0591584,0.0056583,0.8476772,33.399,9.524,14.500,6.527,4.019,-4.913,-4.359,-4.843,2451.728,-0.271,1304.138,-1.689,9.116,0.416,5,0.572,3,100.000,0.000,0.000,54.556,3,0,17,0,12,5,22,0,0.075
"6std_ligand",1,0,0,0,1,4,1,1,413.156,3.454,591.342,231.586,41.447,126.443,191.866,1046.831,0.000,5.500,0.0113981,0.0000000,0.8431620,34.379,10.472,14.702,10.759,3.414,-2.814,-4.820,-3.298,113.552,0.405,10000.000,-1.454,9.628,0.581,2,-0.306,3,83.717,0.000,18.551,48.637,3,0,9,3,6,3,21,0,22.271
"6rnt_ligand",3,0,0,2,0,8,1,-2,347.224,15.401,536.507,89.227,358.561,84.483,4.236,919.347,6.000,14.100,0.2580021,0.0643753,0.8522676,26.308,11.242,29.062,24.937,-1.853,-1.743,-1.691,-0.710,0.253,-3.199,0.109,-7.062,8.004,0.242,4,-1.463,1,0.000,0.000,0.000,187.597,12,2,14,0,14,4,23,1,0.001
"6q3q_ligand",19,2,0,4,7,35,0,-2,893.962,13.631,1343.457,650.158,650.047,0.000,43.252,2606.042,9.500,23.200,0.0712945,0.0532263,0.6817038,75.666,30.847,54.018,46.416,-5.068,0.715,-0.720,8.716,0.000,-9.968,0.000,-14.265,9.126,0.028,16,-3.852,1,0.000,0.000,134.889,495.756,25,3,0,0,0,0,61,2,0.000
"6mub_ligand",17,0,0,0,0,30,5,-2,828.725,7.091,1021.891,389.335,632.556,0.000,0.000,2079.755,17.000,44.200,0.0241750,0.1783373,0.7710844,57.815,25.747,69.689,68.298,-10.227,1.446,1.757,-5.236,0.010,-8.337,0.002,-10.297,10.449,-0.971,16,-3.847,1,0.000,0.000,0.000,425.803,26,3,30,0,30,25,56,2,0.001
